video,label,id,t_start,t_end,frames
1CV12_13_R_#93,D0X,1,1,87,87
1CV12_13_R_#93,G03,6,88,167,80
1CV12_13_R_#93,B0B,3,168,415,248
1CV12_13_R_#93,G04,7,416,508,93
1CV12_13_R_#93,B0A,2,509,768,260
1CV12_13_R_#93,G05,8,769,856,88
1CV12_13_R_#93,B0B,3,857,1075,219
1CV12_13_R_#93,G06,9,1076,1155,80
1CV12_13_R_#93,B0A,2,1156,1355,200
1CV12_13_R_#93,D0X,1,1356,1743,388
1CV12_13_R_#93,G09,12,1744,1819,76
1CV12_13_R_#93,B0B,3,1820,2072,253
1CV12_13_R_#93,G07,10,2073,2221,149
1CV12_13_R_#93,B0A,2,2222,2436,215
1CV12_13_R_#93,D0X,1,2437,2732,296
1CV12_13_R_#93,G08,11,2733,2839,107
1CV12_13_R_#93,B0B,3,2840,3097,258
1CV12_13_R_#93,G02,5,3098,3191,94
1CV12_13_R_#93,B0A,2,3192,3424,233
1CV12_13_R_#93,G01,4,3425,3504,80
1CV12_13_R_#93,B0B,3,3505,3720,216
1CV12_13_R_#93,D0X,1,3721,4109,389
1CV12_13_R_#93,G10,13,4110,4188,79
1CV12_13_R_#93,B0A,2,4189,4413,225
1CV12_13_R_#93,G11,14,4414,4485,72
1CV12_13_R_#93,D0X,1,4486,4523,38
1CV12_13_R_#94,D0X,1,1,124,124
1CV12_13_R_#94,G11,14,125,216,92
1CV12_13_R_#94,B0B,3,217,488,272
1CV12_13_R_#94,G05,8,489,581,93
1CV12_13_R_#94,B0B,3,582,840,259
1CV12_13_R_#94,G03,6,841,941,101
1CV12_13_R_#94,B0A,2,942,1155,214
1CV12_13_R_#94,G08,11,1156,1222,67
1CV12_13_R_#94,B0A,2,1223,1503,281
1CV12_13_R_#94,D0X,1,1504,1846,343
1CV12_13_R_#94,G07,10,1847,1974,128
1CV12_13_R_#94,B0A,2,1975,2231,257
1CV12_13_R_#94,G02,5,2232,2298,67
1CV12_13_R_#94,B0B,3,2299,2557,259
1CV12_13_R_#94,D0X,1,2558,2903,346
1CV12_13_R_#94,G04,7,2904,2993,90
1CV12_13_R_#94,B0B,3,2994,3224,231
1CV12_13_R_#94,D0X,1,3225,3478,254
1CV12_13_R_#94,G09,12,3479,3608,130
1CV12_13_R_#94,B0A,2,3609,3856,248
1CV12_13_R_#94,G01,4,3857,3947,91
1CV12_13_R_#94,B0A,2,3948,4183,236
1CV12_13_R_#94,G06,9,4184,4267,84
1CV12_13_R_#94,B0B,3,4268,4515,248
1CV12_13_R_#94,G10,13,4516,4571,56
1CV12_13_R_#94,D0X,1,4572,4596,25
1CV12_13_R_#95,D0X,1,1,67,67
1CV12_13_R_#95,G10,13,68,144,77
1CV12_13_R_#95,B0A,2,145,373,229
1CV12_13_R_#95,G02,5,374,451,78
1CV12_13_R_#95,B0B,3,452,667,216
1CV12_13_R_#95,G06,9,668,769,102
1CV12_13_R_#95,B0B,3,770,1006,237
1CV12_13_R_#95,G11,14,1007,1097,91
1CV12_13_R_#95,B0B,3,1098,1304,207
1CV12_13_R_#95,G04,7,1305,1411,107
1CV12_13_R_#95,B0A,2,1412,1622,211
1CV12_13_R_#95,G09,12,1623,1733,111
1CV12_13_R_#95,B0A,2,1734,1918,185
1CV12_13_R_#95,D0X,1,1919,2231,313
1CV12_13_R_#95,G07,10,2232,2355,124
1CV12_13_R_#95,B0B,3,2356,2607,252
1CV12_13_R_#95,G08,11,2608,2706,99
1CV12_13_R_#95,B0B,3,2707,2900,194
1CV12_13_R_#95,D0X,1,2901,3208,308
1CV12_13_R_#95,G03,6,3209,3290,82
1CV12_13_R_#95,B0A,2,3291,3506,216
1CV12_13_R_#95,D0X,1,3507,3737,231
1CV12_13_R_#95,G05,8,3738,3819,82
1CV12_13_R_#95,B0A,2,3820,3999,180
1CV12_13_R_#95,G01,4,4000,4039,40
1CV12_13_R_#95,D0X,1,4040,4066,27
1CV12_13_R_#96,D0X,1,1,139,139
1CV12_13_R_#96,G01,4,140,223,84
1CV12_13_R_#96,B0A,2,224,467,244
1CV12_13_R_#96,G09,12,468,562,95
1CV12_13_R_#96,B0B,3,563,789,227
1CV12_13_R_#96,G03,6,790,878,89
1CV12_13_R_#96,B0A,2,879,1130,252
1CV12_13_R_#96,D0X,1,1131,1440,310
1CV12_13_R_#96,G06,9,1441,1528,88
1CV12_13_R_#96,B0B,3,1529,1808,280
1CV12_13_R_#96,G07,10,1809,1922,114
1CV12_13_R_#96,B0A,2,1923,2183,261
1CV12_13_R_#96,D0X,1,2184,2532,349
1CV12_13_R_#96,G02,5,2533,2604,72
1CV12_13_R_#96,B0B,3,2605,2872,268
1CV12_13_R_#96,D0X,1,2873,3180,308
1CV12_13_R_#96,G10,13,3181,3263,83
1CV12_13_R_#96,B0A,2,3264,3526,263
1CV12_13_R_#96,G08,11,3527,3627,101
1CV12_13_R_#96,B0B,3,3628,3874,247
1CV12_13_R_#96,G11,14,3875,3955,81
1CV12_13_R_#96,B0A,2,3956,4179,224
1CV12_13_R_#96,G04,7,4180,4253,74
1CV12_13_R_#96,B0B,3,4254,4462,209
1CV12_13_R_#96,G05,8,4463,4529,67
1CV12_13_R_#96,D0X,1,4530,4556,27
1CV12_16_R_#105,D0X,1,1,101,101
1CV12_16_R_#105,G01,4,102,150,49
1CV12_16_R_#105,B0A,2,151,461,311
1CV12_16_R_#105,G07,10,462,531,70
1CV12_16_R_#105,B0A,2,532,733,202
1CV12_16_R_#105,G03,6,734,802,69
