video,label,id,t_start,t_end,frames
4CM11_19_R_#17,D0X,1,1,16,16
4CM11_19_R_#17,G08,11,17,62,46
4CM11_19_R_#17,B0A,2,63,318,256
4CM11_19_R_#17,G10,13,319,368,50
4CM11_19_R_#17,B0A,2,369,617,249
4CM11_19_R_#17,G07,10,618,680,63
4CM11_19_R_#17,B0B,3,681,956,276
4CM11_19_R_#17,G01,4,957,996,40
4CM11_19_R_#17,B0A,2,997,1211,215
4CM11_19_R_#17,D0X,1,1212,1523,312
4CM11_19_R_#17,G04,7,1524,1704,181
4CM11_19_R_#17,B0B,3,1705,1912,208
4CM11_19_R_#17,G02,5,1913,2021,109
4CM11_19_R_#17,B0B,3,2022,2257,236
4CM11_19_R_#17,G05,8,2258,2296,39
4CM11_19_R_#17,B0A,2,2297,2514,218
4CM11_19_R_#17,D0X,1,2515,3012,498
4CM11_19_R_#17,G11,14,3013,3078,66
4CM11_19_R_#17,B0B,3,3079,3262,184
4CM11_19_R_#17,D0X,1,3263,3399,137
4CM11_19_R_#17,G03,6,3400,3459,60
4CM11_19_R_#17,B0A,2,3460,3551,92
4CM11_19_R_#17,G06,9,3552,3581,30
4CM11_19_R_#17,B0B,3,3582,3671,90
4CM11_19_R_#17,G09,12,3672,3785,114
4CM11_19_R_#17,D0X,1,3786,3823,38
4CM11_19_R_#18,D0X,1,1,15,15
4CM11_19_R_#18,G01,4,16,69,54
4CM11_19_R_#18,B0B,3,70,160,91
4CM11_19_R_#18,G02,5,161,317,157
4CM11_19_R_#18,B0A,2,318,480,163
4CM11_19_R_#18,G08,11,481,685,205
4CM11_19_R_#18,B0A,2,686,892,207
4CM11_19_R_#18,D0X,1,893,1301,409
4CM11_19_R_#18,G11,14,1302,1354,53
4CM11_19_R_#18,B0A,2,1355,1599,245
4CM11_19_R_#18,G05,8,1600,1653,54
4CM11_19_R_#18,B0B,3,1654,1936,283
4CM11_19_R_#18,D0X,1,1937,2336,400
4CM11_19_R_#18,G07,10,2337,2400,64
4CM11_19_R_#18,B0B,3,2401,2609,209
4CM11_19_R_#18,D0X,1,2610,2981,372
4CM11_19_R_#18,G09,12,2982,3022,41
4CM11_19_R_#18,B0A,2,3023,3156,134
4CM11_19_R_#18,G10,13,3157,3225,69
4CM11_19_R_#18,B0B,3,3226,3400,175
4CM11_19_R_#18,G03,6,3401,3441,41
