video,label,id,t_start,t_end,frames
1CM42_21_R_#153,D0X,1,1,55,55
1CM42_21_R_#153,G03,6,56,102,47
1CM42_21_R_#153,B0B,3,103,346,244
1CM42_21_R_#153,G10,13,347,392,46
1CM42_21_R_#153,B0A,2,393,649,257
1CM42_21_R_#153,G08,11,650,716,67
1CM42_21_R_#153,B0A,2,717,943,227
1CM42_21_R_#153,G11,14,944,978,35
1CM42_21_R_#153,B0B,3,979,1188,210
1CM42_21_R_#153,D0X,1,1189,1462,274
1CM42_21_R_#153,G05,8,1463,1503,41
1CM42_21_R_#153,B0A,2,1504,1735,232
1CM42_21_R_#153,G02,5,1736,1777,42
1CM42_21_R_#153,B0B,3,1778,2052,275
1CM42_21_R_#153,D0X,1,2053,2440,388
1CM42_21_R_#153,G07,10,2441,2495,55
1CM42_21_R_#153,B0A,2,2496,2880,385
1CM42_21_R_#153,D0X,1,2881,3238,358
1CM42_21_R_#153,G06,9,3239,3268,30
1CM42_21_R_#153,B0A,2,3269,3512,244
1CM42_21_R_#153,G04,7,3513,3554,42
1CM42_21_R_#153,B0B,3,3555,3783,229
1CM42_21_R_#153,G01,4,3784,3821,38
1CM42_21_R_#153,B0B,3,3822,4045,224
1CM42_21_R_#153,G09,12,4046,4109,64
1CM42_21_R_#153,D0X,1,4110,4188,79
1CM42_21_R_#154,D0X,1,1,70,70
1CM42_21_R_#154,G03,6,71,112,42
1CM42_21_R_#154,B0B,3,113,399,287
1CM42_21_R_#154,G06,9,400,435,36
1CM42_21_R_#154,B0A,2,436,722,287
1CM42_21_R_#154,G05,8,723,766,44
1CM42_21_R_#154,B0A,2,767,1032,266
1CM42_21_R_#154,G08,11,1033,1090,58
1CM42_21_R_#154,B0B,3,1091,1375,285
1CM42_21_R_#154,G07,10,1376,1437,62
1CM42_21_R_#154,B0A,2,1438,1731,294
1CM42_21_R_#154,G02,5,1732,1769,38
1CM42_21_R_#154,B0B,3,1770,2020,251
1CM42_21_R_#154,D0X,1,2021,2418,398
1CM42_21_R_#154,G10,13,2419,2471,53
1CM42_21_R_#154,B0A,2,2472,2783,312
1CM42_21_R_#154,D0X,1,2784,3137,354
1CM42_21_R_#154,G01,4,3138,3176,39
1CM42_21_R_#154,B0A,2,3177,3448,272
1CM42_21_R_#154,D0X,1,3449,3776,328
1CM42_21_R_#154,G09,12,3777,3834,58
1CM42_21_R_#154,B0B,3,3835,4145,311
1CM42_21_R_#154,G11,14,4146,4191,46
1CM42_21_R_#154,B0B,3,4192,4403,212
1CM42_21_R_#154,G04,7,4404,4439,36
1CM42_21_R_#154,D0X,1,4440,4543,104
1CM42_21_R_#155,D0X,1,1,61,61
1CM42_21_R_#155,G08,11,62,113,52
1CM42_21_R_#155,B0B,3,114,422,309
1CM42_21_R_#155,G06,9,423,473,51
1CM42_21_R_#155,B0B,3,474,803,330
1CM42_21_R_#155,G11,14,804,854,51
1CM42_21_R_#155,B0B,3,855,1167,313
1CM42_21_R_#155,G03,6,1168,1196,29
1CM42_21_R_#155,B0A,2,1197,1577,381
1CM42_21_R_#155,D0X,1,1578,1950,373
1CM42_21_R_#155,G01,4,1951,1997,47
1CM42_21_R_#155,B0A,2,1998,2308,311
1CM42_21_R_#155,G04,7,2309,2343,35
1CM42_21_R_#155,B0A,2,2344,2577,234
1CM42_21_R_#155,D0X,1,2578,2995,418
1CM42_21_R_#155,G10,13,2996,3021,26
1CM42_21_R_#155,B0B,3,3022,3453,432
1CM42_21_R_#155,G02,5,3454,3512,59
1CM42_21_R_#155,B0A,2,3513,3823,311
1CM42_21_R_#155,D0X,1,3824,4137,314
1CM42_21_R_#155,G05,8,4138,4204,67
1CM42_21_R_#155,B0A,2,4205,4365,161
1CM42_21_R_#155,G07,10,4366,4426,61
1CM42_21_R_#155,B0B,3,4427,4596,170
1CM42_21_R_#155,G09,12,4597,4654,58
1CM42_21_R_#155,D0X,1,4655,4709,55
1CM42_21_R_#156,D0X,1,1,64,64
1CM42_21_R_#156,G05,8,65,107,43
1CM42_21_R_#156,B0A,2,108,479,372
1CM42_21_R_#156,G11,14,480,516,37
1CM42_21_R_#156,B0B,3,517,808,292
1CM42_21_R_#156,G09,12,809,870,62
1CM42_21_R_#156,B0A,2,871,1110,240
1CM42_21_R_#156,G04,7,1111,1156,46
1CM42_21_R_#156,B0A,2,1157,1450,294
1CM42_21_R_#156,D0X,1,1451,1752,302
1CM42_21_R_#156,G06,9,1753,1791,39
1CM42_21_R_#156,B0B,3,1792,2106,315
1CM42_21_R_#156,D0X,1,2107,2409,303
1CM42_21_R_#156,G10,13,2410,2455,46
1CM42_21_R_#156,B0A,2,2456,2756,301
1CM42_21_R_#156,G02,5,2757,2794,38
1CM42_21_R_#156,B0A,2,2795,3128,334
1CM42_21_R_#156,G07,10,3129,3177,49
1CM42_21_R_#156,B0B,3,3178,3358,181
1CM42_21_R_#156,D0X,1,3359,3644,286
1CM42_21_R_#156,G08,11,3645,3704,60
1CM42_21_R_#156,B0B,3,3705,3942,238
1CM42_21_R_#156,G01,4,3943,3987,45
1CM42_21_R_#156,B0B,3,3988,4155,168
1CM42_21_R_#156,G03,6,4156,4203,48
1CM42_21_R_#156,D0X,1,4204,4241,38
1CM42_26_R_#173,D0X,1,1,30,30
1CM42_26_R_#173,G05,8,31,95,65
1CM42_26_R_#173,B0B,3,96,521,426
1CM42_26_R_#173,G04,7,522,585,64
1CM42_26_R_#173,B0A,2,586,883,298
1CM42_26_R_#173,G07,10,884,1021,138
1CM42_26_R_#173,B0B,3,1022,1264,243
1CM42_26_R_#173,G09,12,1265,1332,68
1CM42_26_R_#173,B0A,2,1333,1555,223
1CM42_26_R_#173,D0X,1,1556,1731,176
1CM42_26_R_#173,G06,9,1732,1788,57
1CM42_26_R_#173,B0A,2,1789,2042,254
1CM42_26_R_#173,G08,11,2043,2098,56
1CM42_26_R_#173,B0B,3,2099,2337,239
1CM42_26_R_#173,G10,13,2338,2443,106
1CM42_26_R_#173,B0A,2,2444,2670,227
1CM42_26_R_#173,G02,5,2671,2745,75
1CM42_26_R_#173,B0A,2,2746,2948,203
1CM42_26_R_#173,D0X,1,2949,3120,172
1CM42_26_R_#173,G01,4,3121,3174,54
1CM42_26_R_#173,B0B,3,3175,3378,204
1CM42_26_R_#173,D0X,1,3379,3480,102
1CM42_26_R_#173,G03,6,3481,3547,67
1CM42_26_R_#173,B0B,3,3548,3741,194
1CM42_26_R_#173,G11,14,3742,3809,68
1CM42_26_R_#173,D0X,1,3810,3836,27
1CM42_26_R_#174,D0X,1,1,77,77
